name,lat,lon
64-08,50.4520315,30.4533535
11-08,50.4520315,30.4533535
110-08,50.4520315,30.4533535
18-08,50.4520315,30.4533535
38-08,50.4520315,30.4533535
5-08,50.4520315,30.4533535
830-07,50.448603,30.457019
6-08,50.4520315,30.4533535
"22б-08",50.4520315,30.4533535
106-08,50.4520315,30.4533535
25-08,50.4520315,30.4533535
28-08,50.4520315,30.4533535
35-37-08,50.4520315,30.4533535
128-132-20,50.447054," 30.461190"
0147-01,50.449306,30.460681
319-01,50.449306,30.460681
0183-01,50.449306,30.460681
103-07,50.448603,30.457019
65-08,50.4520315,30.4533535
21-08,50.4520315,30.4533535
108-08,50.4520315,30.4533535
84-08,50.4520315,30.4533535
83-08,50.4520315,30.4533535
49-08,50.4520315,30.4533535
107-08,50.4520315,30.4533535
336-18,50.447021,30.456021
302-22,50.4459415,30.4547315
234-01,50.449306,30.460681
103-18,50.447021,30.456021
36-08,50.4520315,30.4533535
24-08,50.4520315,30.4533535
305-22,50.4459415,30.4547315
612-22,50.4459415,30.4547315
615-22,50.4459415,30.4547315
92-08,50.4520315,30.4533535
424-17,50.4467592,30.45714
90-08,50.4520315,30.4533535
610-22,50.4459415,30.4547315
012-01,50.449306,30.460681
435-19,50.4480855,30.4585595
128-19,50.4480855,30.4585595
405-19,50.4480855,30.4585595
442-19,50.4480855,30.4585595
123-19,50.4480855,30.4585595
203-09,50.446855,30.4617485
406-19,50.4480855,30.4585595
305-23,50.445937,30.4541672
100-18,50.447021,30.456021
216-23,50.445937,30.4541672
115-23,50.445937,30.4541672
217-23,50.445937,30.4541672
224-23,50.445937,30.4541672
254-01,50.449306,30.460681
252-01,50.449306,30.460681
106-18,50.447021,30.456021
110-18,50.447021,30.456021
435-18,50.447021,30.456021
101-18,50.447021,30.456021
105-22,50.4459415,30.4547315
1-207-01,50.449306,30.460681
310-26,50.444961,30.4553606
101-26,50.444961,30.4553606
103-26,50.444961,30.4553606
208-26,50.444961,30.4553606
203-26,50.444961,30.4553606
206-26,50.444961,30.4553606
307-26,50.444961,30.4553606
312-26,50.444961,30.4553606
303-26,50.444961,30.4553606
304-26,50.444961,30.4553606
624-22,50.4459415,30.4547315
322-05,50.449142,30.4653065
431-12,50.4483613,30.4546884
308-12,50.4483613,30.4546884
433-12,50.4483613,30.4546884
319-12,50.4483613,30.4546884
227-12,50.4483613,30.4546884
114-12,50.4483613,30.4546884
236-07,50.448603,30.457019
"215б-12",50.4483613,30.4546884
223-12,50.4483613,30.4546884
221-12,50.4483613,30.4546884
"211а-12",50.4483613,30.4546884
425-12,50.4483613,30.4546884
210-12,50.4483613,30.4546884
212-12,50.4483613,30.4546884
"215а-12",50.4483613,30.4546884
226-12,50.4483613,30.4546884
"206а-12",50.4483613,30.4546884
418-12,50.4483613,30.4546884
200-12,50.4483613,30.4546884
414-12,50.4483613,30.4546884
203-12,50.4483613,30.4546884
426-12,50.4483613,30.4546884
333-12,50.4483613,30.4546884
323-12,50.4483613,30.4546884
321-07,50.448603,30.457019
424-12,50.4483613,30.4546884
224-12,50.4483613,30.4546884
108-12,50.4483613,30.4546884
231-12,50.4483613,30.4546884
209-12,50.4483613,30.4546884
106-12,50.4483613,30.4546884
"209а-12",50.4483613,30.4546884
301-22,50.4459415,30.4547315
438-12,50.4483613,30.4546884
322-17,50.4467592,30.45714
235-12,50.4483613,30.4546884
001-20,50.447054," 30.461190"
107-12,50.4483613,30.4546884
304-12,50.4483613,30.4546884
"111а-12",50.4483613,30.4546884
305-12,50.4483613,30.4546884
101-12,50.4483613,30.4546884
307-12,50.4483613,30.4546884
102-12,50.4483613,30.4546884
"111б-12",50.4483613,30.4546884
105-12,50.4483613,30.4546884
111-12,50.4483613,30.4546884
331-12,50.4483613,30.4546884
329-12,50.4483613,30.4546884
339-12,50.4483613,30.4546884
327-12,50.4483613,30.4546884
325-05,50.449142,30.4653065
"201г-12",50.4483613,30.4546884
125-12,50.4483613,30.4546884
245-04,50.450681,30.455048
139-12,50.4483613,30.4546884
427-12,50.4483613,30.4546884
435-12,50.4483613,30.4546884
409-12,50.4483613,30.4546884
405-02,50.447517,30.4633715
437-12,50.4483613,30.4546884
134-12,50.4483613,30.4546884
"ІОХ-02",50.447517,30.4633715
138-12,50.4483613,30.4546884
312-02,50.447517,30.4633715
129-12,50.4483613,30.4546884
"07в-12",50.4483613,30.4546884
007-12,50.4483613,30.4546884
406-12,50.4483613,30.4546884
311-12,50.4483613,30.4546884
414-17,50.4467592,30.45714
521-17,50.4467592,30.45714
420-17,50.4467592,30.45714
202-17,50.4467592,30.45714
416-17,50.4467592,30.45714
404-17,50.4467592,30.45714
"510а-17",50.4467592,30.45714
211-17,50.4467592,30.45714
508-17,50.4467592,30.45714
"510б-17",50.4467592,30.45714
504-17,50.4467592,30.45714
301-17,50.4467592,30.45714
422-17,50.4467592,30.45714
203-17,50.4467592,30.45714
512-17,50.4467592,30.45714
326-17,50.4467592,30.45714
206-17,50.4467592,30.45714
208-17,50.4467592,30.45714
324-17,50.4467592,30.45714
302-30,50.4425848,30.4460375
207-30,50.4425848,30.4460375
407-17,50.4467592,30.45714
428-17,50.4467592,30.45714
215-17,50.4467592,30.45714
204-17,50.4467592,30.45714
46-08,50.4520315,30.4533535
103-08,50.4520315,30.4533535
78-08,50.4520315,30.4533535
32-08,50.4520315,30.4533535
402-17,50.4467592,30.45714
