url_wiki,name
"http://wiki.kpi.ua/index.php/Промислова екологія_(20401350)","Промислова екологія"
"http://wiki.kpi.ua/index.php/Системне програмування-1. Програмування на Асемблері_(20402040)","Системне програмування-1"
"http://wiki.kpi.ua/index.php/Екологічна безпека інженерної діяльності_(20401350)","Екологічна безпека інженерної діяльності"
"http://wiki.kpi.ua/index.php/Екологічні аспекти керування якістю навколишнього середовища_(20401350)","Еколог. аспекти керув. якістю навкол. серед."
"http://wiki.kpi.ua/index.php/Екологічна та природно-техногенна безпека_(20401350)","Екологічна та природно-техногенна безпека"
"http://wiki.kpi.ua/index.php/Нові методи побудови інтелектуальних систем_(20401930)","Нові методи побудови інтелектуальних систем"
"http://wiki.kpi.ua/index.php/Тенденції розвитку сучасних комп'ютерних систем_(20402040)","Тенденції розвитку сучасних комп'ютерних систем"
"http://wiki.kpi.ua/index.php/Відмовостійкі багатопроцесорні системи_(20401930)","Відмовостійкі багатопроцесорні системи"
"http://wiki.kpi.ua/index.php/Вища математика-1. Диференціальне та інтегральне обчислення функції однієї змінної_(20403240)","Вища математика-1"
"http://wiki.kpi.ua/index.php/Вступ до операційної системи Linux_(20402040)","Вступ до ОС Linux"
"http://wiki.kpi.ua/index.php/Структури даних і алгоритми_(20402040)","Структури даних і алгоритми"
"http://wiki.kpi.ua/index.php/Іноземна мова. Практичний курс іноземної мови-І_(20402830)","Іноземна мова. Практичний курс іноземної мови-І"
"http://wiki.kpi.ua/index.php/Формування мотивації до здорового способу життя_(20403570)","Формування мотивації до здор.спос.життя"
"http://wiki.kpi.ua/index.php/Аналітична геометрія_(20403240)","Аналітична геометрія"
"http://wiki.kpi.ua/index.php/Комп'ютерна логіка-1. Комп'ютерна логіка_(20402040)","Комп'ютерна логіка-1"
"http://wiki.kpi.ua/index.php/Програмування_(20402040)","Програмування"
"http://wiki.kpi.ua/index.php/Історія науки і техніки_(20403310)","Історія науки і техніки"
"http://wiki.kpi.ua/index.php/Курсова робота з Комп'ютерної логіки_(20402040)","КР з Комп'ютерної логіки"
"http://wiki.kpi.ua/index.php/Дослідження і проектування комп'ютерних систем_(20402040)","Дослідження і проектування КС"
"http://wiki.kpi.ua/index.php/Практичний курс іншомовного ділового спілкування. Практичний курс іноземної мови для ділового спілкування_(20402830)","Практичний курс іншомовного ділового спілкування. Практичний курс іноземної мови для ділового спілкування"
"http://wiki.kpi.ua/index.php/Мережні технології_(20402040)","Мережні технології"
"http://wiki.kpi.ua/index.php/Програмне забезпечення комп'ютерних систем_(20402040)","Програмне забезпечення КС"
"http://wiki.kpi.ua/index.php/Менеджмент стартап-проектів_(20402510)","Менеджмент стартап-проектів"
"http://wiki.kpi.ua/index.php/Хмарні обчислення та GRID-системи_(20402040)","Хмарні обчислення та GRID-системи"
