uuid,name,faculty_id
acb12f37-bf63-41f1-9439-47ab2b1560b1,ІТ-03,10106
11edfbf2-683f-4769-98d1-013a16712a1c,ІТ-03мп,10106
ef2a7a41-1947-4f58-9c5d-1380ba3ffbd3,ІТ-04,10106
49a2ddfc-8e81-43f6-ac71-1e23e9dc64f1,ІТ-04мп,10106
5caeb887-adeb-4471-9339-117a932caa1d,ІТ-71,10106
97b22090-a0c8-4e05-95a0-1008a219f83b,ІТ-72,10106
530e5276-3950-4be2-b608-8544630ee12b,ІТ-73,10106
9dad6e78-4a3a-42c7-82f7-58645b085cab,ІТ-74,10106
88aaa7d3-8858-4a6b-8155-99acd1de8249,ІТ-81,10106
149e2cce-91dd-4f18-add0-82da5b6d204c,ІТ-82,10106
21f8b0ff-2bd4-4eed-bd92-a5ad19b09eb4,ІТ-83,10106
34e6d27f-2aff-4636-a0cb-47c28d9362b1,ІТ-84,10106
f8afa27a-6e5f-4a1f-8e85-7c3d4219f8a3,ІТ-91,10106
a16213f9-b582-406f-87db-f52c6aec071d,ІТ-91ф,10106
